start,open,high,low,close,volume
1515628800,14900,14999,12639,13253,71324.73242623998
1515715200,13254,14100,12751,13794,36984.91179393004
1515801600,13790,14580,13750,14190,28865.093426140025
1515888000,14199,14393,12874.34212454,13558,35337.44837508001
1515974400,13551,14356,13300,13600,33324.46661355001
1516060800,13602,13617,9940,11063,130285.82839561996
1516147200,11064.56025403,11497,9231.1,11108,131259.33846779997
1516233600,11112,11904,10515,11030,84815.55658717999
1516320000,11032,11900,10647,11477,47963.45857958007
1516406400,11476,13017,11407,12732,46074.36492408
1516492800,12731,12732,11015,11514,53252.14832951998
1516579200,11514,11900,10009,10779,65769.39823082987
1516665600,10779,11427,9900,10811,63206.900276939916
1516752000,10832,11557.88958366,10430,11396,43451.17351185998
1516838400,11391,11734,10845,11147,34175.32783723004
1516924800,11148,11684,10276,11069,56034.317605860015
1517011200,11069,11689,10800,11458,34202.67873777006
1517097600,11458,12190,11390,11829,29235.423343760005
1517184000,11835,11975,11070,11217.81768538,25403.56266513996
1517270400,11217.81768538,11250,9860.4,10170,60668.15211536998
1517356800,10171,10414,9760,10271.97762274,42970.307686670014
1517443200,10267,10336,8941,9181.1,77923.49012585006
1517529600,9181,9213,7960,8890.9,122295.12274689991
1517616000,8890,9499,8180,9225,51633.014415469996
1517702400,9223.9,9410,7809,8185.2,73358.09185083993
1517788800,8185.2,8380,6651,6947.2,129713.79449911989
1517875200,6948,7880,6000,7678.8,191261.95386058002
1517961600,7677.1,8488.9,7175.1,7586.9,105883.86386266009
1518048000,7583.3,8648.9,7565,8239.7,76191.68962304006
1518134400,8239,8750,7724.9,8678.1,62039.53456946002
1518220800,8679.1,9074.6,8151.3,8563,67444.63307500994
1518307200,8563,8570,7851,8070.5,51989.70323504993
1518393600,8070.7,9000,8069.57681296,8902.9,50745.709953200065
1518480000,8910.8,8952.9,8313.52192073,8511,39110.353332079896
1518566400,8511.6,9489,8511.6,9455.4,49578.42762162012
1518652800,9452.8,10176,9338,9996,66764.46435944992
1518739200,9996,10271,9670,10162,43335.14947531004
1518825600,10161,11084,10049,11062,52340.57952875009
1518912000,11062,11250,10122,10400,69450.26585963
1518998400,10400,11250,10308,11172,50106.91726164003
1519084800,11172,11788,11100,11211,60463.93141601002
1519171200,11210,11239,10200,10451,75544.55880297012
1519257600,10450,10915,9740,9826.5,70614.43883877997
1519344000,9826.4,10395,9583.1,10144,58205.62056589003
1519430400,10143,10500,9350.3,9666.3,55041.80148448997
1519516800,9667,9840,9280.4,9578,30452.990618160067
1519603200,9575,10439,9359.9,10320,45305.41087494992
1519689600,10321,10888,10125,10576,39266.87027743005
1519776000,10582,11065,10265,10315,43015.185115720065
1519862400,10314,11095,10210,10923,33265.5002738
1519948800,10920,11189,10762,11024,28507.94379743001
1520035200,11028,11530,11025,11454.95955159,30272.248147060032
1520121600,11454,11549,11050,11500,27830.100925649993
1520208000,11500,11700,11356,11402,27312.885195180053
1520294400,11401,11411,10567,10720,43518.949204889985
1520380800,10719,10899,9400,9910.6,74235.20667292998
1520467200,9902.5,10112,9025,9300,66904.25245925001
1520553600,9300,9428,8342,9216.2,96622.37180080995
1520640000,9216.1,9506.4,8670.9,8769.9,51491.275059389984
1520726400,8772.5,9729,8428,9527.7,69398.46430967988
